,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,1.0,1.0,1.0,1.0,0.9759000729485332,0.9047619047619049,1.0,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
F1v,1.0,1.0,1.0,1.0,1.0,0.9759000729485332,0.9047619047619049,1.0,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
F2,1.0,1.0,1.0,1.0,1.0,0.9759000729485332,0.9047619047619049,1.0,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
F3,1.0,1.0,1.0,1.0,1.0,0.9759000729485332,0.9047619047619049,1.0,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
F4,1.0,1.0,1.0,1.0,1.0,0.9759000729485332,0.9047619047619049,1.0,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
N3,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,0.9759000729485333,0.9759000729485333,1.0,1.0,1.0,0.9759000729485333,0.9759000729485333,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,0.9759000729485333,
N4,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9759000729485333,1.0,0.9047619047619049,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9047619047619049,0.9047619047619049,0.9759000729485332,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,
kDN,1.0,1.0,1.0,1.0,1.0,0.9759000729485333,0.9047619047619049,1.0,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
CM,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,0.9759000729485332,0.9759000729485332,1.0,1.0,1.0,0.9759000729485333,0.9759000729485333,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,0.9759000729485333,
R,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,0.9759000729485332,0.9759000729485332,1.0,1.0,1.0,0.9759000729485333,0.9759000729485333,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,0.9759000729485333,
D3,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,0.9759000729485332,0.9759000729485332,1.0,1.0,1.0,0.9759000729485333,0.9759000729485333,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,0.9759000729485333,
D. Over.,1.0,1.0,1.0,1.0,1.0,0.9759000729485333,0.9047619047619049,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
Borderline,1.0,1.0,1.0,1.0,1.0,0.9759000729485333,0.9047619047619049,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,1.0,1.0,0.9759000729485332,1.0,1.0,1.0,1.0,
N1,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,0.9759000729485332,1.0,0.9759000729485332,0.9759000729485332,1.0,1.0,1.0,0.9759000729485332,0.9759000729485332,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,0.9759000729485333,
N2,1.0,1.0,1.0,1.0,1.0,0.9759000729485333,0.9047619047619049,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,1.0,1.0,0.9759000729485333,1.0,1.0,1.0,1.0,
ONB,1.0,1.0,1.0,1.0,1.0,0.9759000729485333,0.9047619047619049,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,1.0,1.0,0.9759000729485333,1.0,1.0,1.0,1.0,
LSC,1.0,1.0,1.0,1.0,1.0,0.9759000729485333,0.9047619047619049,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,1.0,1.0,0.9759000729485333,1.0,1.0,1.0,1.0,
Clust,1.0,1.0,1.0,1.0,1.0,0.9759000729485333,0.9047619047619049,1.0,0.9759000729485333,0.9759000729485333,0.9759000729485333,1.0,1.0,0.9759000729485333,1.0,1.0,1.0,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
