,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,0.8999999999999998,0.97467943448089644,0.79999999999999993,0.79999999999999993,0.8999999999999998,-0.29999999999999999,0.8999999999999998,0.8999999999999998,-0.99999999999999989,0.99999999999999989,-0.099999999999999992,-0.8999999999999998,0.099999999999999992,-0.69999999999999996,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,-0.8999999999999998
F1v,0.99999999999999989,1,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,0.8999999999999998,0.97467943448089644,0.79999999999999993,0.79999999999999993,0.8999999999999998,-0.29999999999999999,0.8999999999999998,0.8999999999999998,-0.99999999999999989,0.99999999999999989,-0.099999999999999992,-0.8999999999999998,0.099999999999999992,-0.69999999999999996,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,-0.8999999999999998
F2,0.8999999999999998,0.8999999999999998,1,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.87208159927238094,0.8999999999999998,0.8999999999999998,0.99999999999999989,-0.49999999999999994,0.99999999999999989,0.99999999999999989,-0.8999999999999998,0.8999999999999998,0,-0.99999999999999989,0,-0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,-0.79999999999999993
F3,0.99999999999999989,0.99999999999999989,0.8999999999999998,1,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,0.8999999999999998,0.97467943448089644,0.79999999999999993,0.79999999999999993,0.8999999999999998,-0.29999999999999999,0.8999999999999998,0.8999999999999998,-0.99999999999999989,0.99999999999999989,-0.099999999999999992,-0.8999999999999998,0.099999999999999992,-0.69999999999999996,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,-0.8999999999999998
F4,0.99999999999999989,0.99999999999999989,0.8999999999999998,0.99999999999999989,1,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,0.8999999999999998,0.97467943448089644,0.79999999999999993,0.79999999999999993,0.8999999999999998,-0.29999999999999999,0.8999999999999998,0.8999999999999998,-0.99999999999999989,0.99999999999999989,-0.099999999999999992,-0.8999999999999998,0.099999999999999992,-0.69999999999999996,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,-0.8999999999999998
IN,0.99999999999999989,0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,1,-0.99999999999999989,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,0.8999999999999998,0.97467943448089644,0.79999999999999993,0.79999999999999993,0.8999999999999998,-0.29999999999999999,0.8999999999999998,0.8999999999999998,-0.99999999999999989,0.99999999999999989,-0.099999999999999992,-0.8999999999999998,0.099999999999999992,-0.69999999999999996,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,-0.8999999999999998
Raug,-0.99999999999999989,-0.99999999999999989,-0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,1,-0.8999999999999998,-0.8999999999999998,0.8999999999999998,-0.99999999999999989,-0.8999999999999998,-0.97467943448089644,-0.79999999999999993,-0.79999999999999993,-0.8999999999999998,0.29999999999999999,-0.8999999999999998,-0.8999999999999998,0.99999999999999989,-0.99999999999999989,0.099999999999999992,0.8999999999999998,-0.099999999999999992,0.69999999999999996,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.8999999999999998,0.8999999999999998
deg_overlap,0.8999999999999998,0.8999999999999998,0.99999999999999989,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.8999999999999998,1,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.87208159927238094,0.8999999999999998,0.8999999999999998,0.99999999999999989,-0.49999999999999994,0.99999999999999989,0.99999999999999989,-0.8999999999999998,0.8999999999999998,0,-0.99999999999999989,0,-0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,-0.79999999999999993
N3,0.8999999999999998,0.8999999999999998,0.99999999999999989,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,1,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.87208159927238094,0.8999999999999998,0.8999999999999998,0.99999999999999989,-0.49999999999999994,0.99999999999999989,0.99999999999999989,-0.8999999999999998,0.8999999999999998,0,-0.99999999999999989,0,-0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.99999999999999989,-0.79999999999999993
SI,-0.8999999999999998,-0.8999999999999998,-0.99999999999999989,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,0.8999999999999998,-0.99999999999999989,-0.99999999999999989,1,-0.8999999999999998,-0.99999999999999989,-0.87208159927238094,-0.8999999999999998,-0.8999999999999998,-0.99999999999999989,0.49999999999999994,-0.99999999999999989,-0.99999999999999989,0.8999999999999998,-0.8999999999999998,0,0.99999999999999989,0,0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.8999999999999998,0.8999999999999998,-0.99999999999999989,0.79999999999999993
